"Estado","Ano","qnt"
"AC","1998","730"
"AC","1999","333"
"AC","2000","434"
"AC","2001","828"
"AC","2002","1543.95"
"AC","2003","946.92"
"AC","2004","1183.98"
"AC","2005","984.45"
"AC","2006","1221.37"
"AC","2007","1213.08"
"AC","2008","1143.66"
"AC","2009","831.265"
"AC","2010","475.213"
"AC","2011","709.204"
"AC","2012","1185.99"
"AC","2013","1108.136"
"AC","2014","557.275"
"AM","1998","946"
"AM","1999","1061"
"AM","2000","853"
"AM","2001","1297"
"AM","2002","2852"
"AM","2003","1524.268"
"AM","2004","2298.207"
"AM","2005","1657.128"
"AM","2006","997.64"
"AM","2007","589.601"
"AM","2008","2717"
"AM","2009","1320.601"
"AM","2010","2324.508"
"AM","2011","1652.538"
"AM","2012","1110.641"
"AM","2013","905.217"
"AM","2014","2385.909"
"RR","1998","21"
"RR","1999","220"
"RR","2000","362"
"RR","2001","1309.108"
"RR","2002","2224"
"RR","2003","1789.131"
"RR","2004","1457"
"RR","2005","860"
"RR","2006","1245"
"RR","2007","1863"
"RR","2008","1131"
"RR","2009","1687"
"RR","2010","1442"
"RR","2011","1082"
"RR","2012","1001"
"RR","2013","994"
"RR","2014","1868"
"RO","1998","916"
"RO","1999","208.922"
"RO","2000","867.635"
"RO","2001","1004.059"
"RO","2002","1.452.086"
"RO","2003","1464.912"
"RO","2004","920.27"
"RO","2005","1678.203"
"RO","2006","680.192"
"RO","2007","395.641"
"RO","2008","257.459"
"RO","2009","786.313"
"RO","2010","1295.588"
"RO","2011","1600.943"
"RO","2012","517.909"
"RO","2013","1887.776"
"RO","2014","709.901"
"PA","1998","715.586"
"PA","1999","2192.305"
"PA","2000","794.43"
"PA","2001","834.78"
"PA","2002","1265.576"
"PA","2003","1073.058"
"PA","2004","1074.795"
"PA","2005","500.765"
"PA","2006","1183.211"
"PA","2007","1833.336"
"PA","2008","1918.785"
"PA","2009","739.096"
"PA","2010","862.244"
"PA","2011","921.782"
"PA","2012","1424.516"
"PA","2013","917.644"
"PA","2014","1597.385"
"AP","1998","278"
"AP","1999","101"
"AP","2000","253"
"AP","2001","1301"
"AP","2002","862.096"
"AP","2003","1652"
"AP","2004","2261"
"AP","2005","1271"
"AP","2006","817"
"AP","2007","440"
"AP","2008","785"
"AP","2009","1109.019"
"AP","2010","721"
"AP","2011","1100"
"AP","2012","2103"
"AP","2013","975"
"AP","2014","1490"
"MA","1998","365.884"
"MA","1999","1276.442"
"MA","2000","1243.747"
"MA","2001","720.137"
"MA","2002","530.11"
"MA","2003","962.442"
"MA","2004","1197.185"
"MA","2005","1183.584"
"MA","2006","924.369"
"MA","2007","1911.207"
"MA","2008","1681.691"
"MA","2009","1589.799"
"MA","2010","1416.507"
"MA","2011","881.008"
"MA","2012","1748.875"
"MA","2013","976.228"
"MA","2014","1345.114"
"TO","1998","912.634"
"TO","1999","608.077"
"TO","2000","993.554"
"TO","2001","2039.081"
"TO","2002","1918.878"
"TO","2003","1582.315"
"TO","2004","1003.21"
"TO","2005","1398.154"
"TO","2006","1002.432"
"TO","2007","2159.828"
"TO","2008","1849.222"
"TO","2009","3611.141"
"TO","2010","2374.717"
"TO","2011","1477.918"
"TO","2012","2076.113"
"TO","2013","1960.803"
"TO","2014","1712.213"
"MT","1998","241.389"
"MT","1999","2979.399"
"MT","2000","3897.266"
"MT","2001","3088.075"
"MT","2002","3665.503"
"MT","2003","6939.854"
"MT","2004","4811.176"
"MT","2005","5386.715"
"MT","2006","4286.385"
"MT","2007","3515.704"
"MT","2008","3399.903"
"MT","2009","8188.717"
"MT","2010","6252.445"
"MT","2011","5388.206"
"MT","2012","5341.25"
"MT","2013","5238.111"
"MT","2014","5890.597"
