,Estado,Ano,qnt
0,AC,1998,730.0
119,TO,1998,912.634
34,RR,1998,21.0
102,MA,1998,365.884
68,PA,1998,715.586
85,AP,1998,278.0
51,RO,1998,916.0
17,AM,1998,946.0
136,MT,1998,241.389
35,RR,1999,220.0
103,MA,1999,1276.442
18,AM,1999,1061.0
120,TO,1999,608.077
137,MT,1999,2979.399
1,AC,1999,333.0
52,RO,1999,208.922
86,AP,1999,101.0
69,PA,1999,2192.305
138,MT,2000,3897.266
2,AC,2000,434.0
36,RR,2000,362.0
104,MA,2000,1243.747
70,PA,2000,794.43
87,AP,2000,253.0
53,RO,2000,867.635
19,AM,2000,853.0
121,TO,2000,993.554
105,MA,2001,720.137
88,AP,2001,1301.0
71,PA,2001,834.78
54,RO,2001,1004.059
37,RR,2001,1309.108
3,AC,2001,828.0
122,TO,2001,2039.081
139,MT,2001,3088.075
20,AM,2001,1297.0
123,TO,2002,1918.878
72,PA,2002,1265.576
4,AC,2002,1543.95
89,AP,2002,862.096
55,RO,2002,1452.086
21,AM,2002,2852.0
106,MA,2002,530.11
140,MT,2002,3665.503
38,RR,2002,2224.0
141,MT,2003,6939.854
107,MA,2003,962.442
73,PA,2003,1073.058
124,TO,2003,1582.315
90,AP,2003,1652.0
22,AM,2003,1524.268
39,RR,2003,1789.131
5,AC,2003,946.92
56,RO,2003,1464.912
91,AP,2004,2261.0
6,AC,2004,1183.98
57,RO,2004,920.27
108,MA,2004,1197.185
40,RR,2004,1457.0
125,TO,2004,1003.21
23,AM,2004,2298.207
74,PA,2004,1074.795
142,MT,2004,4811.176
126,TO,2005,1398.154
7,AC,2005,984.45
75,PA,2005,500.765
92,AP,2005,1271.0
109,MA,2005,1183.584
58,RO,2005,1678.203
41,RR,2005,860.0
24,AM,2005,1657.128
143,MT,2005,5386.715
144,MT,2006,4286.385
127,TO,2006,1002.432
110,MA,2006,924.369
93,AP,2006,817.0
76,PA,2006,1183.211
25,AM,2006,997.64
42,RR,2006,1245.0
59,RO,2006,680.192
8,AC,2006,1221.37
77,PA,2007,1833.336
43,RR,2007,1863.0
26,AM,2007,589.601
128,TO,2007,2159.828
60,RO,2007,395.641
94,AP,2007,440.0
111,MA,2007,1911.207
9,AC,2007,1213.08
145,MT,2007,3515.704
78,PA,2008,1918.785
44,RR,2008,1131.0
61,RO,2008,257.459
146,MT,2008,3399.903
95,AP,2008,785.0
112,MA,2008,1681.691
129,TO,2008,1849.222
10,AC,2008,1143.66
27,AM,2008,2717.0
45,RR,2009,1687.0
113,MA,2009,1589.799
28,AM,2009,1320.601
11,AC,2009,831.265
130,TO,2009,3611.141
96,AP,2009,1109.019
62,RO,2009,786.313
79,PA,2009,739.096
147,MT,2009,8188.717
148,MT,2010,6252.445
29,AM,2010,2324.508
131,TO,2010,2374.717
12,AC,2010,475.213
114,MA,2010,1416.507
80,PA,2010,862.244
46,RR,2010,1442.0
63,RO,2010,1295.588
97,AP,2010,721.0
47,RR,2011,1082.0
149,MT,2011,5388.206
81,PA,2011,921.782
64,RO,2011,1600.943
13,AC,2011,709.204
98,AP,2011,1100.0
132,TO,2011,1477.918
115,MA,2011,881.008
30,AM,2011,1652.538
14,AC,2012,1185.99
150,MT,2012,5341.25
99,AP,2012,2103.0
31,AM,2012,1110.641
116,MA,2012,1748.875
82,PA,2012,1424.516
133,TO,2012,2076.113
65,RO,2012,517.909
48,RR,2012,1001.0
151,MT,2013,5238.111
83,PA,2013,917.644
66,RO,2013,1887.776
117,MA,2013,976.228
49,RR,2013,994.0
15,AC,2013,1108.136
134,TO,2013,1960.803
32,AM,2013,905.217
100,AP,2013,975.0
16,AC,2014,557.275
135,TO,2014,1712.213
67,RO,2014,709.901
84,PA,2014,1597.385
33,AM,2014,2385.909
101,AP,2014,1490.0
50,RR,2014,1868.0
118,MA,2014,1345.114
152,MT,2014,5890.597
